judul,isi,kategori
"Ketertiban Umum","Banyak kendaraan yang parkir sembarangan di area pasar yang menyebabkan kemacetan","Asli"
"Error Sistem","Situs resmi untuk pengurusan surat-surat tidak bisa diakses selama beberapa hari, pelayanan terhambat","Asli"
"Pemerasan","Ada indikasi pemerasan di beberapa dinas terkait pengurusan izin usaha","Asli"
"Cari Kerja","Proses pendaftaran lowongan kerja di Dinas Tenaga Kerja sangat lambat dan tidak transparan","Asli"
"Diskriminasi","Ada diskriminasi dalam pemberian bantuan sosial di Dinas Sosial","Asli"
"Pengaduan Pungli","Saya ingin melaporkan adanya pungli di Dinas Perhubungan yang mengurus perizinan","Asli"
"Penipuan Hadiah","Selamat! Anda telah memenangkan hadiah 500 juta! Klik di sini untuk klaim hadiah Anda.","Spam"
"Penipuan Hadiah","Selamat! Anda baru saja memenangkan hadiah utama senilai 1 miliar! Segera klaim hadiah Anda dengan klik di sini!","Spam"
"Pinjaman Cepat","Dapatkan pinjaman tanpa agunan, cair hanya dalam 10 menit! Segera klik di sini!","Spam"
"Pinjaman Cepat","Pinjaman mudah tanpa bunga tinggi, ajukan sekarang dan cair dalam hitungan menit!","Spam"
"Penipuan","Anda telah terpilih untuk hadiah besar! Segera klaim hadiahnya di link ini!","Spam"
"Penipuan","Selamat! Anda berhak atas hadiah besar senilai ratusan juta rupiah! Klik untuk klaim hadiah Anda!","Spam"
"Judi Online","Mau untung cepat? Investasikan 1 juta dan bisa jadi 10 juta dalam waktu singkat! Klik untuk lebih lanjut.","Spam"
"Judi Online","Jadikan 1 juta Anda menjadi 10 juta dalam 24 jam! Segera klik untuk info lebih lanjut!","Spam"
"Gadget Murah","Dapatkan gadget terbaru dengan harga miring hanya dengan klik di sini! Segera beli sekarang!","Spam"
"Gadget Murah","Belanja gadget murah tanpa ribet, klik di sini untuk dapatkan penawaran spesial!","Spam"
"Penipuan Pekerjaan","Dapatkan pekerjaan impian Anda sekarang juga! Klik di sini untuk daftar kerja!","Spam"
"Penipuan Pekerjaan","Cari kerja mudah dan cepat, daftar sekarang dan dapatkan pekerjaan dalam waktu 24 jam!","Spam"
"Pinjaman Instan","Butuh dana cepat? Pinjaman instan tanpa agunan langsung cair! Klik untuk ajukan sekarang!","Spam"
"Penipuan Lelang","Lelang mobil mewah dengan harga terendah! Jangan lewatkan kesempatan ini!","Spam"
"Penipuan Pekerjaan","Lowongan kerja dengan gaji besar menanti Anda! Klik di sini untuk mendaftar!","Spam"
"Penipuan Hadiah","Selamat! Anda telah memenangkan hadiah uang tunai senilai 500 juta! Klik di sini untuk mengklaimnya!","Spam"
"Penipuan Hadiah","Beruntung sekali! Anda baru saja memenangkan hadiah uang tunai ratusan juta! Klik di sini untuk klaim sekarang!","Spam"
"Pinjaman Cepat","Pinjaman tanpa agunan, uang cair dalam hitungan menit! Klik di sini untuk informasi lebih lanjut!","Spam"
"Pinjaman Cepat","Pinjaman cepat dan mudah, tanpa jaminan, segera klik untuk informasi lebih lanjut!","Spam"
"Hadiah Palsu","Selamat! Anda telah memenangkan hadiah fantastis senilai 1 miliar! Klik di sini untuk klaim hadiah Anda!","Spam"
"Hadiah Palsu","Tahniah! Anda telah terpilih untuk hadiah utama! Segera klaim hadiah Anda sekarang juga!","Spam"
"Penipuan Online","Dapatkan pinjaman mudah tanpa agunan! Klik untuk info lebih lanjut!","Spam"
"Pinjaman Online","Pinjaman cepat hanya dalam 5 menit, tanpa persyaratan ribet! Klik di sini untuk mengajukan pinjaman!","Spam"
"Promo Palsu","Tunggu apalagi! Dapatkan diskon besar hanya dengan klik di sini!","Spam"
"Penipuan Nominal Besar","Selamat! Anda baru saja memenangkan hadiah uang tunai senilai 1 miliar rupiah! Klaim sekarang juga!","Spam"
"Penipuan Kerja","Lowongan pekerjaan besar tersedia! Segera daftar dan dapatkan pekerjaan dalam 24 jam!","Spam"
"Pinjaman Instan","Dapatkan pinjaman dana cepat tanpa ribet dan langsung cair! Klik di sini untuk ajukan pinjaman!","Spam"
"Pinjaman Online","Bingung cari pinjaman? Dapatkan pinjaman tanpa jaminan dengan bunga rendah! Segera ajukan sekarang!","Spam"
"Tawaran Hadiah","Klaim hadiah besar Anda sekarang juga! Klik di sini untuk melanjutkan!","Spam"
"Penipuan Hadiah","Klik di sini untuk klaim hadiah yang telah Anda menangkan senilai ratusan juta!","Spam"
"Asu","Tolong perbaiki server, kami tidak bisa mengakses apa-apa!","Spam"
"Asu","Server sangat lambat, harap segera diperbaiki!","Spam"
"Anjing Cok","Hati-hati, banyak penipuan di internet!","Spam"
"Kontol","Dapatkan pinjaman mudah dengan bunga rendah! Klik untuk info lebih lanjut!","Spam"
"Jancok","Segera klik di sini untuk penawaran menarik!","Spam"
"Anjing","Tunggu apa lagi! Segera klik untuk belanja murah!","Spam"
"Memek","Dapatkan pinjaman tanpa jaminan dengan proses cepat! Klik di sini!","Spam"
"Raimu Bosok","Jangan malas-malas, kerja keras agar bisa sukses!","Spam"
"Ngentot","Klik di sini untuk klaim hadiah Anda!","Spam"
"Sepong","Pinjaman mudah, tanpa agunan, cair langsung ke rekening! Klik untuk info lebih lanjut!","Spam"
"Sepong","Segera klik di sini dan menangkan hadiah besar!","Spam"
"Tetek","Pinjaman cair dalam 10 menit tanpa agunan, ajukan sekarang!","Spam"
"Tetek","Cair dalam waktu 5 menit! Ajukan pinjaman sekarang!","Spam"
"Kontol","Segera klaim hadiah Anda di sini!","Spam"
